Configuration,AUC,Balanced Accuracy,F1,|DPD|,|EOD|
Baseline Only,0.6451157538114058,0.655561829474873,0.5964912280701754,0.03260326032603261,0.0374493927125506
Baseline + Reject Inference,0.6883116883116883,0.687888198757764,0.701195219123506,0.040304030403040314,0.0668016194331984
Baseline + Fairness,0.665725578769057,0.6813946922642575,0.6907630522088354,0.060506050605060535,0.09244264507422406
Full Pipeline,0.6981931112365896,0.677159796725014,0.6527196652719666,0.08150815081508156,0.09109311740890691
