model,AUC,Brier Score,Balanced Accuracy,Accuracy,Precision,Recall,F1,DPD,EOD,AOD,GMA
Baseline,0.6662902315076228,0.21898053606970458,0.6029079616036137,0.635,0.8292682926829268,0.6623376623376623,0.7364620938628159,-0.022302230223022357,-0.00877192982456132,-0.02248120300751874,0.6350120660526092
Reject Inference,0.6009316770186335,0.20963784532337584,0.5426312817617166,0.73,0.7873563218390804,0.8896103896103896,0.8353658536585366,0.02260226022602263,-0.01585695006747645,0.07492866782340463,0.7294197730528917
Reweighing,0.6654432523997742,0.19292453794885397,0.5405138339920948,0.715,0.7869822485207101,0.8636363636363636,0.8235294117647058,-0.046904690469046995,-0.01653171390013497,-0.07683728552149605,0.7150182690760504
